date,pm25,temperature_2m,relative_humidity_2m,surface_pressure,windspeed_10m,winddirection_10m,aqi_category
2023-07-10,15.0,28.34166666666667,74.625,987.6166666666667,8.208333333333334,188.87079429072102,Very Good
2023-07-11,14.7,28.375,77.41666666666667,987.7208333333333,5.466666666666666,219.15874964016803,Very Good
2023-07-12,17.1,28.95,72.66666666666667,987.8541666666666,7.158333333333334,239.78822469202493,Good
2023-07-13,16.8,30.516666666666666,62.416666666666664,986.9583333333334,10.875,253.14177984047652,Good
2023-07-14,18.2,29.770833333333332,64.70833333333333,986.4875000000001,14.183333333333332,262.3559549785555,Good
2023-07-17,15.9,29.425,64.83333333333333,982.0083333333333,18.025000000000002,257.37907363400257,Good
2023-07-18,14.5,29.59583333333333,64.33333333333333,982.1166666666667,17.595833333333335,254.16838662290576,Very Good
2023-07-19,17.6,29.670833333333334,62.791666666666664,982.7833333333333,14.833333333333334,259.59923548151704,Good
2023-07-20,18.0,29.8125,61.208333333333336,984.0,11.745833333333332,267.1837261360549,Good
2023-07-21,19.0,27.2,82.125,986.3208333333333,6.304166666666667,352.33377655251115,Good
2023-07-22,18.3,26.883333333333336,84.95833333333333,987.4916666666667,6.341666666666666,72.09759235503736,Good
2023-07-23,14.9,26.745833333333334,84.83333333333333,987.4250000000001,6.533333333333334,68.4373008637022,Very Good
2023-07-24,14.8,26.625,83.125,986.1458333333334,6.55,241.42444941507102,Very Good
2023-07-25,16.8,27.054166666666664,82.0,986.2291666666666,8.424999999999999,252.92563271823877,Good
2023-07-26,17.5,28.675,72.25,986.1374999999999,11.8125,265.3499096796198,Good
2023-07-27,17.5,29.583333333333332,64.79166666666667,984.6833333333334,16.662499999999998,263.85086518056306,Good
2023-07-28,16.6,29.162499999999998,66.16666666666667,982.5875,18.1125,259.12738874794593,Good
2023-07-29,15.1,28.9875,67.54166666666667,982.8000000000001,18.233333333333334,249.6833131695749,Good
2023-07-30,14.4,28.8125,67.125,983.9541666666668,16.05,237.2563745080755,Very Good
2023-07-31,12.9,27.604166666666668,78.875,985.6333333333333,11.879166666666668,208.464253815326,Very Good
2023-08-01,19.3,28.6125,72.83333333333333,985.8708333333334,11.3375,219.50456313194684,Good
2023-08-02,22.0,27.958333333333332,74.33333333333333,986.1583333333333,9.950000000000001,221.60953459005466,Good
2023-08-03,19.6,28.458333333333332,71.95833333333333,985.7958333333332,16.433333333333334,235.38970438460595,Good
2023-08-04,17.6,27.84166666666667,73.95833333333333,988.1333333333333,15.225,229.9319663656079,Good
2023-08-05,17.9,28.77916666666667,66.25,988.7541666666666,14.645833333333334,239.99451895804663,Good
2023-08-06,19.4,28.329166666666666,71.0,986.8583333333332,15.858333333333334,241.74266927664007,Good
2023-08-07,18.4,28.412499999999998,67.29166666666667,985.7083333333334,14.841666666666667,244.9771041267209,Good
2023-08-08,18.4,28.233333333333334,72.75,986.5500000000001,11.799999999999999,233.1688774866204,Good
2023-08-09,16.4,28.77916666666667,70.75,988.0124999999999,11.0625,239.9298287742534,Good
2023-08-10,19.5,29.8125,64.0,987.3833333333333,11.491666666666667,245.1057800031423,Good
2023-08-11,20.0,30.59166666666667,59.25,986.1125000000001,14.112499999999999,254.96463884370962,Good
2023-08-12,21.6,30.337500000000002,61.75,985.3666666666667,14.525,244.91106920890104,Good
2023-08-13,19.7,30.141666666666666,65.0,985.1125000000001,12.258333333333333,245.59800392908681,Good
2023-08-14,22.5,30.733333333333334,60.541666666666664,985.2333333333332,12.995833333333332,246.27425076161305,Good
2023-08-15,21.4,30.041666666666668,63.166666666666664,985.9416666666666,13.466666666666667,233.84534713883144,Good
2023-08-16,18.6,30.162499999999998,62.125,986.5041666666666,8.979166666666666,230.03465285061918,Good
2023-08-17,17.4,29.795833333333334,65.20833333333333,986.5666666666666,8.454166666666667,234.27424432959413,Good
2023-08-18,20.6,30.03333333333333,62.833333333333336,985.6041666666666,10.799999999999999,276.570916964744,Good
2023-08-25,12.6,29.65416666666667,63.916666666666664,986.3208333333333,11.270833333333334,258.5397890377695,Very Good
2023-08-26,15.3,29.412499999999998,63.875,986.3291666666668,13.2125,261.58863428893403,Good
2023-08-27,18.1,29.895833333333332,60.333333333333336,985.3208333333333,15.283333333333333,261.56420032486056,Good
2023-08-28,21.1,30.879166666666666,56.041666666666664,984.0916666666667,14.525,257.81834041975094,Good
2023-08-29,20.3,29.77916666666667,63.416666666666664,984.225,11.0,249.43261434890485,Good
2023-08-30,21.5,28.71666666666667,72.16666666666667,985.7166666666667,5.041666666666667,175.20371263681045,Good
2023-08-31,15.9,27.599999999999998,80.5,985.9625,7.370833333333334,236.8195317993662,Good
2023-09-01,17.4,27.304166666666664,82.66666666666667,985.3208333333333,8.495833333333334,260.71752656992675,Good
2023-09-02,19.5,27.587500000000002,81.66666666666667,983.9541666666668,7.495833333333334,248.43173438546233,Good
2023-09-03,17.5,27.254166666666666,82.70833333333333,983.1208333333334,6.075,244.52044587561537,Good
2023-09-04,18.9,27.233333333333334,85.08333333333333,982.775,6.8500000000000005,246.2643868282617,Good
2023-09-05,16.3,27.695833333333336,83.375,984.8083333333334,6.770833333333333,239.04172427967407,Good
2023-09-06,12.4,26.825,81.125,987.1666666666666,8.575000000000001,245.25864858908966,Very Good
2023-09-07,14.2,26.474999999999998,86.41666666666667,987.3833333333333,7.5874999999999995,260.2984454356091,Very Good
2023-09-08,15.1,27.108333333333334,83.25,986.7958333333332,6.795833333333333,248.47036497990706,Good
2023-09-09,15.9,27.4375,84.20833333333333,985.1125000000001,6.591666666666666,209.81379924873627,Good
2023-09-10,12.2,26.6125,85.375,985.1791666666667,7.925,200.76502687121882,Very Good
2023-09-11,8.83,27.212500000000002,78.91666666666667,986.0583333333334,11.554166666666667,218.56956337762207,Very Good
2023-09-12,11.9,27.212500000000002,80.16666666666667,987.0916666666667,12.016666666666666,222.3614732907447,Very Good
2023-09-13,11.9,26.77916666666667,78.25,987.5041666666666,12.079166666666666,239.3672619294641,Very Good
2023-09-14,17.4,27.316666666666666,76.58333333333333,986.6791666666667,13.679166666666667,256.32211425954694,Good
