date,pm25,temperature_2m,relative_humidity_2m,surface_pressure,windspeed_10m,winddirection_10m,aqi_category
2023-01-01,25.2,20.27083333333333,63.16666666666666,996.1875,11.454166666666666,44.139230082884296,Moderate
2023-01-02,29.4,20.695833333333333,66.375,996.2333333333332,10.7375,46.52053065056418,Moderate
2023-01-03,27.7,22.633333333333336,63.583333333333336,995.725,11.870833333333332,45.921656055981146,Moderate
2023-01-04,20.2,22.791666666666668,63.458333333333336,995.1375,10.9375,52.13244475703141,Good
2023-01-05,18.4,23.3,63.083333333333336,994.6375,13.258333333333333,51.157651812748895,Good
2023-01-06,17.0,23.258333333333336,59.625,995.4958333333334,20.6,56.2296670861636,Good
2023-01-07,22.3,21.59583333333333,54.583333333333336,994.3875,12.054166666666667,53.08978347380776,Good
2023-01-08,35.5,22.475,58.458333333333336,993.1291666666666,9.154166666666669,38.51682396265825,Moderate
2023-01-09,35.6,23.979166666666668,63.875,993.1583333333332,8.799999999999999,58.78421772617969,Moderate
2023-01-10,21.7,22.525,83.54166666666667,992.2625,7.820833333333333,66.0250238176925,Good
2023-01-11,20.9,22.28333333333333,87.95833333333333,991.1458333333334,7.5125,67.41666459136513,Good
2023-01-12,18.0,23.508333333333336,83.16666666666667,990.2125,5.579166666666667,63.36576619740214,Good
2023-01-17,31.5,22.929166666666664,70.04166666666667,993.0791666666668,9.125,71.49768304041402,Moderate
2023-01-18,23.3,21.945833333333336,66.875,995.1666666666666,11.1875,68.58491777728813,Good
2023-01-19,24.3,20.683333333333334,68.0,994.475,9.691666666666666,66.2037555233315,Good
2023-01-20,27.2,21.3375,68.25,994.0916666666668,10.470833333333331,59.37241484230748,Moderate
2023-01-21,30.0,20.854166666666668,65.41666666666667,992.6291666666666,8.983333333333333,56.0792673565187,Moderate
2023-01-22,40.4,21.916666666666668,65.45833333333333,990.7541666666666,6.983333333333333,45.66111044422337,Unhealthy
2023-01-23,54.2,22.854166666666668,67.04166666666667,989.65,7.3,42.71132066554134,Unhealthy
2023-01-24,42.7,22.804166666666664,63.458333333333336,992.3833333333332,17.975,62.71152609847882,Unhealthy
2023-01-25,28.2,19.391666666666666,55.79166666666666,994.0916666666668,13.279166666666669,60.90516000207721,Moderate
2023-01-26,45.3,20.820833333333333,63.958333333333336,991.7,7.341666666666666,64.49112936968214,Unhealthy
2023-01-27,51.8,22.97083333333333,61.66666666666666,991.7291666666666,14.179166666666667,65.54724917151725,Unhealthy
2023-01-28,25.6,19.991666666666667,56.5,993.8958333333334,16.529166666666665,58.57700262517812,Moderate
